name,schedule_name_2,open_2,closed_2,schedule_2
Art: 1 New Museum,,10:00,16:00,Minggu
Galeri Nasional Indonesia,Pameran Temporer,10:00,19:00,Senin
Galeri Nasional Indonesia,Pameran Temporer,10:00,19:00,Selasa
Galeri Nasional Indonesia,Pameran Temporer,10:00,19:00,Rabu
Galeri Nasional Indonesia,Pameran Temporer,10:00,19:00,Kamis
Galeri Nasional Indonesia,Pameran Temporer,10:00,19:00,Jumat
Galeri Nasional Indonesia,Pameran Temporer,10:00,19:00,Sabtu
Galeri Nasional Indonesia,Pameran Temporer,10:00,19:00,Minggu
Monumen Nasional,Pelataran Puncak Sesi 2,19:00,22:00,Selasa
Monumen Nasional,Pelataran Puncak Sesi 2,19:00,22:00,Rabu
Monumen Nasional,Pelataran Puncak Sesi 2,19:00,22:00,Kamis
Monumen Nasional,Pelataran Puncak Sesi 2,19:00,22:00,Jumat
Monumen Nasional,Pelataran Puncak Sesi 2,19:00,22:00,Sabtu
Monumen Nasional,Pelataran Puncak Sesi 2,19:00,22:00,Minggu
Museum Alkitab,,09:00,15:00,Sabtu
Museum Al-Qur’an,,08:00,13:00,Sabtu
Museum Bank Indonesia,,08:00,16:00,Sabtu
Museum Bank Indonesia,,08:00,16:00,Minggu
Museum Basoeki Abdullah,,09:00,15:00,Sabtu
Museum Basoeki Abdullah,,09:00,15:00,Minggu
Museum Benda-Benda Alkitab Yerushalayim,Reservasi Grup,,,Sabtu
Museum DPR RI,,08:00,15:30,Jumat
Museum Fauna Indonesia “Komodo” dan Taman Reptilia,,08:30,17:00,Sabtu
Museum Fauna Indonesia “Komodo” dan Taman Reptilia,,08:30,17:00,Minggu
Museum of Health and Medicine,,09:00,14:00,Sabtu
Museum Katedral,,12:00,16:00,Minggu
Museum MH. Thamrin,,09:00,13:00,Sabtu
Museum Nasional Indonesia,,08:00,17:00,Sabtu
Museum Nasional Indonesia,,08:00,17:00,Minggu
Museum Perumusan Naskah Proklamasi,,08:00,16:30,Jumat
Museum Santa Maria Juanda,Reservasi,,,Minggu
Museum Sumpah Pemuda,,08:00,16:30,Jumat
Pusat Peragaan IPTEK,,08:30,16:30,Jumat
