name,category
Art: 1 New Museum,Seni
Bayt Al-Qur’an dan Museum Istiqlal,Agama
Galeri Foto Jurnalistik Antara,Sejarah
Galeri Nasional Indonesia,Seni
Monumen Nasional,Sejarah
Monumen Pancasila Sakti,Militer
Museum Alkitab,Agama
Museum Al-Qur’an,Agama
Museum Anatomi Universitas Katolik (Unika) Atmajaya,Sains
Museum Asmat,Sejarah
Museum Bahari,Sejarah
Museum Bank Indonesia,Sejarah
Museum Bank Tabungan Negara,Sejarah
Museum Basoeki Abdullah,Seni
Museum Benda-Benda Alkitab Yerushalayim,Agama
Museum BNI 1946,Sejarah
Museum Ciputra Artpreneur,Seni
Museum Dharma Bhakti Kostrad,Militer
Museum di Tengah Kebun,Seni
Museum DPR RI,Sejarah
Museum Fauna Indonesia “Komodo” dan Taman Reptilia,Fauna
Museum of Health and Medicine,Sains
Museum Graha Widya Patra (Minyak dan Gas Bumi),Sains
Museum Hakka Indonesia,Sejarah
Museum Harry Darsono,Seni
Museum Indonesia,Sejarah
Museum Jenderal Besar Dr. A.H. Nasution,Sejarah
Museum Joang ‘45,Transportasi
Museum Katedral,Agama
Museum Kebangkitan Nasional,Sejarah
Museum Kehutanan “Ir. Djamaludin Suryohadikusumo”,Sains
Museum Keprajuritan,Militer
Museum Korps Marinir Jakarta,Militer
Museum Layang-layang,Seni
Museum Listrik dan Energi Baru,Sains
Museum MACAN (Modern and Contemporary Art in Nusantara),Seni
Museum Mandiri,Sejarah
Museum MH. Thamrin,Sejarah
Museum Nasional Indonesia,Sejarah
Museum Olahraga Nasional,Sains
Museum Pemadam Kebakaran,Sejarah
Museum Penerangan,Sains
Museum Perumusan Naskah Proklamasi,Sejarah
Museum POLRI,Sejarah
Museum Prangko,Sejarah
Museum Prasasti,Sejarah
Museum Purna Bhakti Pertiwi,Sejarah
Museum Pusaka,Sejarah
Museum Santa Maria Juanda,Agama
Museum Sasmitaloka Pahlawan Revolusi Jenderal TNI A. Yani,Militer
Museum Satriamandala,Militer
Museum Sejarah Jakarta,Sejarah
Museum Seni Rupa dan Keramik,Seni
Museum Serangga,Fauna
Museum Sumpah Pemuda,Sejarah
Museum Tekstil,Seni
Museum Timor Timur,Sejarah
Museum Tragedi 12 Mei ’98 Universitas Trisakti,Sejarah
Museum Transportasi,Transportasi
Museum Wayang,Seni
Pusat Peragaan IPTEK,Sains
